Comment,Designator,Footprint,LCSC
2.2uH,L1,L_0805_2012Metric,C1043
Buzzer,BZ1,SPKR_PKM13EPYH4002-B0,C128650
USB_B_Micro,J5,USB_Micro-B_Molex-105133-0031,C132563
TLV70012_SOT23-5,U4,SOT-23-5,C134139
10uF,C8,C_1206_3216Metric,C13585
TPS61230DRC,U3,Texas_S-PVSON-N10_ThermalVias,C139626
CH340G,U10,SOIC-16_3.9x9.9mm_P1.27mm,C14267
100nF,"C20,C30,C31,C32,C33,C34,C35,C36",C_0603_1608Metric,C14663
1u,"C10,C7,C9",C_0603_1608Metric,C15849
1k,"R15,R16",R_0805_2012Metric,C17513
100k,"R17,R18",R_1206_3216Metric,C17900
NPN,Q5,SOT-23,C20526
AO3400A,Q6,SOT-23,C20917
13k,R23,R_0603_1608Metric,C22797
1M,R5,R_0603_1608Metric,C22935
2k,R24,R_0603_1608Metric,C22975
4K7,"R20,R22",R_0603_1608Metric,C23162
10k,"R2,R4",R_0603_1608Metric,C25804
MAX232,U11,SOIC-16_3.9x9.9mm_P1.27mm,C26860
4.7uF,"C1,C3,C5",C_1206_3216Metric,C29823
LTC4054ES5-4.2,U1,TSOT-23-5,C32574
LTR-553ALS-01,U8,LTR553ALS01,C492375
10nF,"C28,C29,C6",C_0603_1608Metric,C57112
AT24C256C-SSHL-T,U9,SOIC-8_3.9x4.9mm_P1.27mm,C6482
Q_PMOS_DSG,Q4,SOT-23,C8492
D_Schottky,D5,D_SOD-323,C8598
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
Conn_01x33_Female,J1,PinHeader_1x33_P2.54mm_Vertical,
BK-18650-PC2,BT1,BAT_BK-18650-PC2,
Conn_01x33_Female,J4,PinHeader_1x33_P2.54mm_Vertical,
Conn_01x33_Female,J2,PinSocket_1x33_P2.54mm_Vertical,
Conn_01x33_Female,J3,PinSocket_1x33_P2.54mm_Vertical,
