Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BK-18650-PC2,BAT_BK-18650-PC2,134.62,-96.52,0.0,top
BZ1,Buzzer,SPKR_PKM13EPYH4002-B0,92.2,-58.7,-90.0,top
C1,4.7uF,C_1206_3216Metric,126.45,-83.95,180.0,top
C3,4.7uF,C_1206_3216Metric,157.25,-81.55,180.0,top
C5,4.7uF,C_1206_3216Metric,141.675,-83.45,0.0,top
C6,10nF,C_0603_1608Metric,96.475,-145.0,180.0,top
C7,1uF,C_0603_1608Metric,100.95,-138.1,0.0,top
C8,10uF,C_1206_3216Metric,88.1,-121.0,0.0,top
C9,1u,C_0603_1608Metric,111.125,-142.2,0.0,top
C10,1u,C_0603_1608Metric,150.25,-131.9,90.0,top
C20,100nF,C_0603_1608Metric,88.05,-68.0,90.0,top
C28,10nF,C_0603_1608Metric,156.0,-51.15,90.0,top
C29,10nF,C_0603_1608Metric,144.475,-48.65,180.0,top
C30,100nF,C_0603_1608Metric,141.05,-132.3,-90.0,top
C31,100nF,C_0603_1608Metric,143.4,-50.85,0.0,top
C32,100nF,C_0603_1608Metric,168.475,-57.75,180.0,top
C33,100nF,C_0603_1608Metric,152.3,-54.55,0.0,top
C34,100nF,C_0603_1608Metric,148.3,-54.5,0.0,top
C35,100nF,C_0603_1608Metric,156.45,-56.95,0.0,top
C36,100nF,C_0603_1608Metric,144.525,-54.55,0.0,top
D5,D_Schottky,D_SOD-323,104.0,-81.95,0.0,top
J1,Conn_01x33_Female,PinHeader_1x33_P2.54mm_Vertical,93.98,-67.31,90.0,top
J2,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,93.98,-77.47,-90.0,bottom
J3,Conn_01x33_Female,PinSocket_1x33_P2.54mm_Vertical,93.98,-115.57,-90.0,bottom
J4,Conn_01x33_Female,PinHeader_1x33_P2.54mm_Vertical,93.98,-125.68,90.0,top
J5,USB_B_Micro,USB_Micro-B_Molex-105133-0031,179.0,-95.925,90.0,top
L1,2.2uH,L_0805_2012Metric,95.7,-134.0,180.0,top
Q4,Q_PMOS_DSG,SOT-23,135.15,-81.45,0.0,top
Q5,NPN,SOT-23,104.4,-49.4,180.0,top
Q6,AO3400A,SOT-23,114.1125,-63.0,180.0,top
R2,10k,R_0603_1608Metric,153.025,-84.35,180.0,top
R4,10k,R_0603_1608Metric,177.0,-88.175,180.0,top
R5,1M,R_0603_1608Metric,90.3,-137.9,90.0,top
R15,1k,R_0805_2012Metric,115.55,-48.55,180.0,top
R16,1k,R_0805_2012Metric,102.35,-60.45,90.0,top
R17,100k,R_1206_3216Metric,126.4,-80.5,180.0,top
R18,100k,R_1206_3216Metric,121.15,-61.9,90.0,top
R20,4K7,R_0603_1608Metric,123.725,-110.7,180.0,top
R22,4K7,R_0603_1608Metric,129.05,-110.85,-90.0,top
R23,13k,R_0603_1608Metric,127.15,-58.75,0.0,top
R24,2k,R_0603_1608Metric,130.15,-54.0,90.0,top
U1,LTC4054ES5-4.2,TSOT-23-5,147.95,-82.1,0.0,top
U3,TPS61230DRC,Texas_S-PVSON-N10_ThermalVias,96.1,-140.8,0.0,top
U4,TLV70012_SOT23-5,SOT-23-5,127.15,-54.1,270.0,top
U8,LTR-553ALS-01,LTR553ALS01,170.0,-62.5,180.0,top
U9,AT24C256C-SSHL-T,SOIC-8_3.9x4.9mm_P1.27mm,112.4,-132.25,180.0,top
U10,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,137.25,-52.8,90.0,top
U11,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,147.6,-59.5,180.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.05,-49.65,90.0,top
